ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
212 	Choto Sona Mosque 	Yes 	Chapai Nawabganj 	Shibganj 	DofA
213 	Darashbari Mosque and Madrasa mound 		Chapai Nawabganj 	Shibganj 	DofA
214 	Darashbari Madrasha (duplicate???) 	Yes 	Duplicate?? 	Shibganj 	???DofA
215 	Shah Niamatullah Wali Mosque 		Chapai Nawabganj 	Shibganj 	DofA
216 	Tomb of Shah Niamatullah Wali 	Yes 	Chapai Nawabganj 	Shibganj 	DofA
217 	Taha-Khana of Shah Shuja 	Yes 	Chapai Nawabganj 	Shibganj 	DofA
218 	Khania Dighi Mosque 	Yes 	Chapai Nawabganj 	Shibganj 	DofA
219 	Dhani Chalk Mosque 		Chapai Nawabganj 	Shibganj 	DofA
220 	Tomb near Chota Sona Mosque 		Chapai Nawabganj 	Shibganj 	DofA
221 	Dudh Pukur Mound 		Chapai Nawabganj 	Shibganj 	DofA
222 	Tiakathi Calvert-1 		Chapai Nawabganj 	Shibganj 	DofA
223 	Tiakathi Calvert-2 		Chapai Nawabganj 	Shibganj 	DofA
